TICKER,CNAME,ACTDATS,ESTIMATOR,ANALYS,FPI,MEASURE,VALUE,FPEDATS,REVDATS,REVTIMS,ANNDATS,ANNTIMS,ACTUAL,ANNDATS_ACT,ANNTIMS_ACT
NFLX,NETFLIX INC.,20020812,1872,6749,6,EPS,-0.0086,20020930,20021018,17:02:56,20020809,14:00:00,-7.00E-04,20021017,17:04:00
NFLX,NETFLIX INC.,20020812,183,79868,6,EPS,-0.0029,20020930,20021008,13:19:30,20020812,10:54:00,-7.00E-04,20021017,17:04:00
NFLX,NETFLIX INC.,20020812,220,57596,6,EPS,-0.01,20020930,20021018,15:09:01,20020812,12:13:00,-7.00E-04,20021017,17:04:00
NFLX,NETFLIX INC.,20021009,183,79868,6,EPS,-0.005,20020930,20021018,16:46:17,20021009,8:50:00,-7.00E-04,20021017,17:04:00
NFLX,NETFLIX INC.,20020805,183,79868,1,EPS,-0.025,20021231,20021129,11:28:32,20020805,13:47:28,-0.005,20030115,17:39:00
NFLX,NETFLIX INC.,20021202,2178,80485,1,EPS,-0.0321,20021231,20021202,11:56:50,20021202,11:56:50,-0.005,20030115,17:39:00
NFLX,NETFLIX INC.,20021202,1872,6749,1,EPS,-0.0207,20021231,20021202,11:56:50,20021202,11:56:50,-0.005,20030115,17:39:00
NFLX,NETFLIX INC.,20021202,220,57596,1,EPS,-0.0179,20021231,20021206,16:41:40,20021202,11:56:50,-0.005,20030115,17:39:00
NFLX,NETFLIX INC.,20021205,2178,80485,1,EPS,-0.0286,20021231,20021205,10:47:35,20021204,6:00:00,-0.005,20030115,17:39:00
NFLX,NETFLIX INC.,20030106,1872,6749,1,EPS,-0.0136,20021231,20030114,9:26:51,20030102,13:29:00,-0.005,20030115,17:39:00
NFLX,NETFLIX INC.,20030115,2227,82629,1,EPS,-0.0164,20021231,20030115,14:24:29,20030115,10:59:00,-0.005,20030115,17:39:00
NFLX,NETFLIX INC.,20021018,1872,6749,6,EPS,-0.0093,20021231,20021129,10:45:30,20021018,9:54:00,0.0014,20030115,17:39:00
NFLX,NETFLIX INC.,20021021,220,57596,6,EPS,-0.01,20021231,20030113,9:39:00,20021018,9:50:00,0.0014,20030115,17:39:00
NFLX,NETFLIX INC.,20030106,1872,6749,6,EPS,-0.0036,20021231,20030106,13:29:05,20030102,13:29:00,0.0014,20030115,17:39:00
NFLX,NETFLIX INC.,20030115,2227,82629,6,EPS,-0.0079,20021231,20030115,14:24:32,20030115,10:59:00,0.0014,20030115,17:39:00
NFLX,NETFLIX INC.,20030116,220,57596,6,EPS,-0.0129,20030331,20030417,14:59:25,20030116,8:30:00,0,20030417,17:42:00
NFLX,NETFLIX INC.,20030121,1872,6749,6,EPS,-0.0036,20030331,20030402,9:57:11,20030116,9:01:00,0,20030417,17:42:00
NFLX,NETFLIX INC.,20030314,481,81599,6,EPS,-0.0043,20030331,20030314,11:16:58,20030314,10:46:00,0,20030417,17:42:00
NFLX,NETFLIX INC.,20030402,2227,82629,6,EPS,-0.0029,20030331,20030404,15:56:17,20030402,17:06:00,0,20030417,17:42:00
NFLX,NETFLIX INC.,20030421,1872,6749,6,EPS,0.0064,20030630,20030421,14:56:37,20030421,9:29:00,0.0114,20030717,16:48:00
NFLX,NETFLIX INC.,20030421,481,81599,6,EPS,0.0079,20030630,20030423,14:27:57,20030421,9:22:00,0.0114,20030717,16:48:00
NFLX,NETFLIX INC.,20030421,2227,82629,6,EPS,0.0064,20030630,20030616,8:17:20,20030421,11:59:00,0.0114,20030717,16:48:00
NFLX,NETFLIX INC.,20030610,1872,6749,6,EPS,0.0107,20030630,20030703,13:41:46,20030609,22:18:00,0.0114,20030717,16:48:00
NFLX,NETFLIX INC.,20030610,220,57596,6,EPS,0.0071,20030630,20030610,10:32:20,20030610,7:49:00,0.0114,20030717,16:48:00
NFLX,NETFLIX INC.,20030617,481,81599,6,EPS,0.0086,20030630,20030617,10:02:23,20030617,9:55:00,0.0114,20030717,16:48:00
NFLX,NETFLIX INC.,20030708,2178,1324,6,EPS,0.01,20030630,20030708,10:07:03,20030708,8:51:00,0.0114,20030717,16:48:00
NFLX,NETFLIX INC.,20030718,220,57596,6,EPS,0.0057,20030930,20030718,15:56:41,20030718,15:56:00,0.0136,20031015,17:19:00
NFLX,NETFLIX INC.,20030718,1872,6749,6,EPS,0.0057,20030930,20031002,9:34:03,20030718,9:17:00,0.0136,20031015,17:19:00
NFLX,NETFLIX INC.,20030721,481,81599,6,EPS,0.0036,20030930,20030721,8:53:28,20030718,18:02:00,0.0136,20031015,17:19:00
NFLX,NETFLIX INC.,20030805,2178,1324,6,EPS,0.0014,20030930,20030805,11:56:26,20030801,14:37:00,0.0136,20031015,17:19:00
NFLX,NETFLIX INC.,20030903,1212,54636,6,EPS,0.0057,20030930,20031003,10:02:20,20030902,18:04:00,0.0136,20031015,17:19:00
NFLX,NETFLIX INC.,20030929,104,22953,6,EPS,0.0086,20030930,20031013,9:48:03,20030929,7:37:00,0.0136,20031015,17:19:00
NFLX,NETFLIX INC.,20031006,481,81599,6,EPS,0.0093,20030930,20031007,9:14:52,20031006,10:05:00,0.0136,20031015,17:19:00
NFLX,NETFLIX INC.,20030116,220,57596,1,EPS,-0.0071,20031231,20030417,14:59:25,20030116,8:30:00,0.0393,20040121,17:49:00
NFLX,NETFLIX INC.,20030121,1872,6749,1,EPS,0.0107,20031231,20030402,9:57:11,20030116,9:01:00,0.0393,20040121,17:49:00
NFLX,NETFLIX INC.,20030314,481,81599,1,EPS,0.0129,20031231,20030409,4:13:36,20030314,10:46:00,0.0393,20040121,17:49:00
NFLX,NETFLIX INC.,20030402,2227,82629,1,EPS,0.0136,20031231,20030404,15:56:17,20030402,17:06:00,0.0393,20040121,17:49:00
NFLX,NETFLIX INC.,20030421,1872,6749,1,EPS,0.0179,20031231,20030421,14:56:37,20030421,9:29:00,0.0393,20040121,17:49:00
NFLX,NETFLIX INC.,20030421,481,81599,1,EPS,0.0221,20031231,20030526,5:58:28,20030421,9:22:00,0.0393,20040121,17:49:00
NFLX,NETFLIX INC.,20030421,2227,82629,1,EPS,0.0179,20031231,20030616,8:17:20,20030421,11:59:00,0.0393,20040121,17:49:00
NFLX,NETFLIX INC.,20030610,1872,6749,1,EPS,0.0214,20031231,20030718,14:14:39,20030609,22:18:00,0.0393,20040121,17:49:00
